No.,Company Name,Category/Sector/Domain,Primary Location,Strategic Context,Estimated Email Format
1,Zepto,Quick Commerce,Mumbai,"Ranked first in LinkedIn's 2024 Top Startups list; 5,000+ employees",{first}.{last}@zepto.com
2,Razorpay,Fintech,Bengaluru,"India's leading payment gateway; 2,700 employees; YC alum",{first}.{last}@razorpay.com
3,Groww,Investing,Bengaluru,"Largest stock broker in India by active clients; 1,000+ employees",{first}.{last}@groww.in
4,Meesho,E-commerce,Bengaluru,"Democratizing internet commerce for small businesses; 1,450 employees",{first}.{last}@meesho.com
5,CRED,Fintech,Bengaluru,Rewards-based credit card payment platform; 900+ employees,{first}.{last}@cred.club
6,PharmEasy,Healthtech,Mumbai,Pharmacy made easy; leading digital healthcare platform,{first}.{last}@pharmeasy.in
7,Zomato,Foodtech,Gurugram,"Publicly traded food discovery and delivery giant; 7,000+ employees",{first}.{last}@zomato.com
8,Swiggy,Foodtech,Bengaluru,Leading player in food delivery and quick commerce (Instamart),{first}.{last}@swiggy.in
9,Delhivery,Logistics,Gurugram,Integrated logistics provider for e-commerce; public entity,{first}.{last}@delhivery.com
10,BrowserStack,B2B SaaS,Mumbai,World's leading software testing platform; profitable unicorn,{first}.{last}@browserstack.com
11,Zoho,B2B SaaS,Chennai,"Profitable, bootstrapped SaaS giant with global product suite",{first}@zohocorp.com
12,Freshworks,B2B SaaS,Chennai,First Indian SaaS company to list on NASDAQ; customer engagement,{first}.{last}@freshworks.com
13,Pine Labs,Fintech,Noida,Merchant platform offering POS and payment solutions,{first}.{last}@pinelabs.com
14,Ola,Mobility,Bengaluru,Leading ride-hailing platform and EV manufacturer,{first}.{last}@olacabs.com
15,Flipkart,E-commerce,Bengaluru,India's largest e-commerce platform; majority owned by Walmart,{first}.{last}@flipkart.com
16,PhonePe,Fintech,Bengaluru,"Leading UPI and digital payments platform; 1,000+ employees",{first}.{last}@phonepe.com
17,Uniphore,AI / Conversational,Chennai,AI-based conversational automation for enterprises,{first}.{last}@uniphore.com
18,Chargebee,B2B SaaS,Chennai,Subscription billing and revenue management unicorn,{first}.{last}@chargebee.com
19,Darwinbox,HRTech,Hyderabad,End-to-end HR operations management platform,{first}.{last}@darwinbox.com
20,Druva,Cloud / SaaS,Pune,Cloud data backup and protection solutions for enterprises,{first}.{last}@druva.com
21,Icertis,B2B SaaS,Pune,Contract lifecycle management powered by AI,{first}.{last}@icertis.com
22,Innovaccer,Healthtech,Bengaluru,Healthcare data activation and analytics platform,{first}.{last}@innovaccer.com
23,LeadSquared,B2B SaaS,Bengaluru,Sales CRM and marketing automation solutions,{first}.{last}@leadsquared.com
24,Mindtickle,B2B SaaS,Pune,Sales readiness and enablement platform,{first}.{last}@mindtickle.com
25,Postman,B2B SaaS,Bengaluru,Leading platform for API development and testing,{first}@postman.com
26,Shiprocket,Logistics SaaS,Gurugram,Logistics and shipping solutions for SMBs,{first}.{last}@shiprocket.com
27,Zenoti,B2B SaaS,Hyderabad,Business management software for the spa and salon industry,{first}.{last}@zenoti.com
28,Zeta,Fintech,Bengaluru,Modern banking and payment stack for financial institutions,{first}.{last}@zeta.tech
29,Polygon,Web3 / Infra,Bengaluru,Layer 2 scaling solution for Ethereum,{first}@polygon.technology
30,blinkit,Quick Commerce,Gurugram,Ultra-fast grocery delivery (formerly Grofers),{first}.{last}@blinkit.com
31,Jupiter,Fintech,Mumbai,Digital-first neobanking app for retail consumers,{first}.{last}@jupiter.money
32,Myntra,E-commerce,Bengaluru,Leading destination for fashion and lifestyle products,{first}.{last}@myntra.com
33,Rapido,Mobility,Bengaluru,India's largest bike-taxi and auto-hailing app,{first}.{last}@rapido.bike
34,InCred,Fintech,Mumbai,Non-banking financial company (NBFC) for personal and biz loans,{first}.{last}@incred.com
35,Porter,Logistics,Bengaluru,Tech-enabled intra-city logistics for businesses,{first}.{last}@porter.in
36,Krutrim,AI Infrastructure,Bengaluru,Building foundational AI models for Indian languages,{first}@olakrutrim.com
37,Vedantu,Edtech,Bengaluru,Live online learning platform for K-12 students,{first}.{last}@vedantu.com
38,boAt,Consumer Electronics,Mumbai,Leading D2C brand for audio and wearables,{first}.{last}@imaginemarketingindia.com
39,Pixxel,SpaceTech,Bengaluru,Hyperspectral imaging satellite constellation,{first}@pixxel.space
40,Licious,Food Commerce,Bengaluru,D2C brand for fresh meat and seafood,{first}.{last}@licious.in
41,Acko,Insurtech,Bengaluru,Digital-native general insurance provider,{first}.{last}@acko.com
42,Dream11,Gaming Tech,Mumbai,India's largest fantasy sports platform,{first}.{last}@dream11.com
43,Shadowfax,Logistics,Bengaluru,Last-mile delivery platform for e-commerce and food,{first}.{last}@shadowfax.in
44,Pocket FM,Media Tech,Bengaluru,Audio series and podcast platform,{first}.{last}@pocketfm.com
45,Skyroot,SpaceTech,Hyderabad,Private aerospace manufacturer and launch provider,{first}@skyroot.in
46,GoKwik,E-commerce SaaS,Gurugram,Solving RTO and checkout problems for D2C brands,{first}.{last}@gokwik.co
47,Lucidity,Cloud Infra,Bengaluru,Ranked 2nd on LinkedIn Rising Startups 2024,{first}@lucidity.co
48,Sprinto,B2B SaaS,Bengaluru,Compliance automation for SaaS companies,{first}@sprinto.com
49,Jar,Fintech,Bengaluru,Micro-savings platform investing in digital gold,{first}@myjar.app
50,Wiingy,Edtech,Bengaluru,Online tutoring platform for diverse subjects,{first}@wiingy.com
51,SourceBae,AI Recruitment,Bengaluru,Matching remote engineers with global firms using AI,{first}@sourcebae.com
52,BiofuelCircle,Cleantech,Pune,Marketplace for biomass and biofuel supply chains,{first}.{last}@biofuelcircle.com
53,Supersourcing,AI Recruitment,Indore,Platform for hiring remote tech talent,{first}@supersourcing.com
54,Battery Smart,Energy Infra,New Delhi,Battery-swapping network for electric vehicles,{first}.{last}@batterysmart.in
55,Scrut Automation,B2B SaaS,Bengaluru,GRC platform for high-growth tech companies,{first}@scrut.io
